Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 08:00,1.0,35.526299,-105.9245445,S74206862,1,2020,9,29,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 07:30,1.0,31.3904516,-110.2392496,S74219835,1,2020,9,29,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 06:23,1.0,32.0982815,-110.6849177,S74205019,1,2020,9,29,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 16:06,1.0,31.8815054,-109.1891165,S74192365,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 16:00,1.0,34.1726552,-103.3249658,S74192560,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 14:47,1.0,35.1336325,-106.4736557,S74186016,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 10:59,1.0,31.9041957,-109.1561556,S74264908,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 09:52,1.0,31.784625,-106.493959,S74260208,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 09:00,1.0,30.6211468,-103.9823824,S74212192,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 08:59,2.0,35.6484708,-105.9865763,S74174909,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 07:45,1.0,35.69397,-105.96309,S74166578,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 07:15,1.0,31.4088134,-110.1067829,S74181753,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 07:00,1.0,31.4641892,-109.9561961,S74175452,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 06:48,1.0,35.1346021,-106.6947944,S74166598,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 06:30,1.0,31.3853692,-110.2273214,S74176911,1,2020,9,28,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 12:49,1.0,34.693806,-112.0264882,S74139624,1,2020,9,27,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 09:14,1.0,30.618894,-103.982375,S74120070,1,2020,9,27,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 09:10,1.0,40.3125911,-111.9062018,S74122202,1,2020,9,27,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 08:30,1.0,35.7534278,-105.9243729,S74124616,1,2020,9,27,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 08:14,3.0,32.976337,-107.376797,S74122711,1,2020,9,27,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 08:00,1.0,33.9878886,-106.8851735,S74118511,1,2020,9,27,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 06:20,1.0,31.7941059,-106.5324983,S74170738,1,2020,9,27,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 06:15,2.0,31.911851,-109.13673,S74146712,1,2020,9,27,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 16:35,1.0,31.9350554,-109.2191966,S74100992,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 16:06,1.0,34.4343548,-103.7991207,S74107853,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 12:32,1.0,31.9150326,-109.2690586,S74103333,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 12:10,2.0,31.911621,-109.143369,S74125703,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 11:20,1.0,31.9328003,-109.2713013,S74103221,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 10:45,3.0,32.976353,-107.376698,S74081067,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 10:42,1.0,31.915746,-109.267337,S74103045,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 09:15,1.0,39.582366,-104.955517,S74075872,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 08:13,2.0,31.8688764,-109.1883919,S74103185,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 08:06,1.0,43.6641235,-116.2945908,S74101103,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 06:45,1.0,31.480015,-110.2874,S74073568,1,2020,9,26,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 18:30,2.0,32.8266086,-108.2696753,S74056838,1,2020,9,25,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 15:00,1.0,32.4484106,-110.7810647,S74228592,1,2020,9,25,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 11:18,1.0,31.8867772,-109.1731811,S74045994,1,2020,9,25,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 07:53,1.0,35.0835605,-106.262354,S74032972,1,2020,9,25,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 07:53,2.0,35.2204294,-106.606689,S74038244,1,2020,9,25,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 06:59,2.0,35.256019,-106.5954924,S74032682,1,2020,9,25,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 17:10,1.0,31.4204234,-110.2475023,S74020283,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 16:53,1.0,40.096993,-105.1766367,S74015007,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 16:05,1.0,32.2591891,-109.8416094,S74016559,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 14:00,1.0,31.8669882,-106.6506936,S74012185,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 13:00,1.0,31.9144645,-109.1443118,S74012958,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 10:17,1.0,32.322136,-106.761435,S74031434,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 09:30,1.0,29.575866,-95.676644,S73999737,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 09:28,1.0,35.13,-106.683,S74002693,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 06:20,1.0,31.72993,-108.97962,S73999354,1,2020,9,24,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 15:02,1.0,39.2280075,-106.9321307,S73982396,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 12:48,1.0,32.4282238,-106.5477705,S73984870,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 12:35,1.0,31.913814,-109.140933,S73988079,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 08:59,1.0,34.0880439,-109.412984,S73997360,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 08:09,1.0,35.3792071,-104.196666,S73957744,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 07:55,1.0,40.7432253,-111.8728888,S73961486,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 07:19,1.0,35.6739168,-106.0710154,S73960515,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 07:00,1.0,31.8637556,-106.6263426,S73959343,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 06:36,1.0,35.1734808,-111.6748661,S74025143,1,2020,9,23,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 19:02,1.0,31.858598,-106.6114944,S73944333,1,2020,9,22,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 17:05,1.0,35.5527006,-105.9713363,S74013045,1,2020,9,22,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 14:35,1.0,38.1307083,-108.2882452,S73946298,1,2020,9,22,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 13:44,2.0,35.0026369,-106.1884354,S73934314,1,2020,9,22,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 08:16,1.0,35.082939,-106.262242,S73923166,1,2020,9,22,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 07:41,1.0,40.7351775,-111.8434596,S73922705,1,2020,9,22,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 07:15,1.0,39.7007566,-105.1545078,S73923854,1,2020,9,22,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 16:51,1.0,45.7113452,-121.4985982,S74088948,1,2020,9,21,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 14:30,1.0,45.584697,-111.0806178,S73920620,1,2020,9,21,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 10:49,1.0,38.2689881,-108.5435727,S73876628,1,2020,9,21,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 09:35,1.0,31.8012696,-106.5038359,S73875311,1,2020,9,21,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 09:15,1.0,37.3097203,-107.8546625,S73885378,1,2020,9,21,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 09:07,1.0,42.6663004,-118.5646731,S73902185,1,2020,9,21,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 09:02,2.0,32.323151,-106.743014,S73879525,1,2020,9,21,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 08:43,1.0,35.251931,-106.601219,S73871449,1,2020,9,21,Trochilidae
