,code,name
228,US-TX-457,Tyler
229,US-TX-459,Upshur
230,US-TX-461,Upton
231,US-TX-463,Uvalde
232,US-TX-465,Val Verde
233,US-TX-467,Van Zandt
234,US-TX-469,Victoria
235,US-TX-471,Walker
236,US-TX-473,Waller
237,US-TX-475,Ward
238,US-TX-477,Washington
239,US-TX-479,Webb
240,US-TX-481,Wharton
241,US-TX-483,Wheeler
242,US-TX-485,Wichita
243,US-TX-487,Wilbarger
244,US-TX-489,Willacy
245,US-TX-491,Williamson
246,US-TX-493,Wilson
247,US-TX-495,Winkler
248,US-TX-497,Wise
249,US-TX-499,Wood
250,US-TX-501,Yoakum
251,US-TX-503,Young
252,US-TX-505,Zapata
253,US-TX-507,Zavala
