Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 16:06,1.0,34.434354799999994,-103.7991207,S74107853,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 12:32,1.0,31.9150326,-109.2690586,S74103333,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 12:10,2.0,31.911621000000004,-109.14336899999999,S74125703,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 11:20,1.0,31.932800300000004,-109.2713013,S74103221,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 10:45,3.0,32.976353,-107.376698,S74081067,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 10:42,1.0,31.915746000000002,-109.26733700000001,S74103045,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 09:15,1.0,39.582366,-104.95551699999999,S74075872,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 08:13,2.0,31.868876399999998,-109.1883919,S74103185,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 08:06,1.0,43.664123499999995,-116.29459080000001,S74101103,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 06:45,1.0,31.480015,-110.2874,S74073568,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 18:30,2.0,32.8266086,-108.2696753,S74056838,1,2020,9,25,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 15:00,1.0,32.4484106,-110.78106470000002,S74228592,1,2020,9,25,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 11:18,1.0,31.8867772,-109.1731811,S74045994,1,2020,9,25,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 07:53,1.0,35.0835605,-106.262354,S74032972,1,2020,9,25,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 07:53,2.0,35.2204294,-106.60668899999999,S74038244,1,2020,9,25,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-25 06:59,2.0,35.256019,-106.59549240000001,S74032682,1,2020,9,25,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 17:10,1.0,31.4204234,-110.24750230000001,S74020283,1,2020,9,24,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 16:53,1.0,40.096993,-105.1766367,S74015007,1,2020,9,24,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 16:05,1.0,32.2591891,-109.84160940000001,S74016559,1,2020,9,24,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 14:00,1.0,31.866988199999998,-106.6506936,S74012185,1,2020,9,24,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 13:00,1.0,31.9144645,-109.1443118,S74012958,1,2020,9,24,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 10:17,1.0,32.322136,-106.761435,S74031434,1,2020,9,24,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 09:28,1.0,35.13,-106.68299999999999,S74002693,1,2020,9,24,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-24 06:20,1.0,31.72993,-108.97962,S73999354,1,2020,9,24,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 15:02,1.0,39.228007500000004,-106.9321307,S73982396,1,2020,9,23,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 12:48,1.0,32.4282238,-106.54777050000001,S73984870,1,2020,9,23,Trochilidae,No
