Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  
Rostrhamus sociabilis plumbeus,Everglade snail kite,Wherever found,4,Endangered
Acrocephalus luscinia,Nightingale reed warbler (old world warbler),Wherever found,1,Endangered
Zosterops rotensis,Rota bridled White-eye,Wherever found,1,Endangered
Gymnogyps californianus,California condor,"U.S.A. (specific portions of Arizona, Nevada, and Utah)",8,"Experimental Population, Non-Essential"
Oceanodroma castro,Band-rumped storm-petrel,USA (HI),1,Endangered
Centrocercus minimus,Gunnison sage-grouse,Wherever found,6,Threatened
Oreomystis bairdi,Akikiki,Wherever found,1,Endangered
Setophaga angelae,Elfin-woods warbler,Wherever found,4,Threatened
Eremophila alpestris strigata,Streaked Horned lark,Wherever found,1,Threatened
Grus americana,Whooping crane,"U.S.A. (CO, ID, FL, NM, UT, and the western half of Wyoming)",4,"Experimental Population, Non-Essential"
Rallus owstoni,Guam rail,Rota,1,"Experimental Population, Non-Essential"
Gallicolumba stairi,Friendly Ground-Dove,American Samoa DPS,1,Endangered
Rhynchopsitta pachyrhyncha,Thick-billed parrot,Wherever found,2,Endangered
Loxops caeruleirostris,Akekee,Wherever found,1,Endangered
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential"
Calidris canutus rufa,Red knot,Wherever found,5,Threatened
Falco femoralis septentrionalis,Northern Aplomado Falcon,"U.S.A (AZ, NM)",2,"Experimental Population, Non-Essential"
Drepanis coccinea,`I`iwi,Wherever found,1,Threatened
Grus americana,Whooping crane,U.S.A (Southwestern Louisiana),4,"Experimental Population, Non-Essential"
Gymnomyza samoensis,Mao (= maomao) (honeyeater),Wherever found,1,Endangered
Hemignathus affinis,Maui nukupuu,Wherever found,1,Endangered
