speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
monpar,Monk Parakeet,Myiopsitta monachus,L502704,Brooker Creek Preserve & surrounding areas,2001-09-05 07:00,1.0,28.1439001,-82.6609078,True,False,False,S7618658
monpar,Monk Parakeet,Myiopsitta monachus,L157660,Clearwater,2001-09-11,,27.9659,-82.80011999999999,True,False,True,S1802810
monpar,Monk Parakeet,Myiopsitta monachus,L3874700,Merle Fogg Park,2001-09-19,,26.1198524,-80.11131230000001,True,False,False,S58597212
monpar,Monk Parakeet,Myiopsitta monachus,L127324,Honeymoon Island SP,2001-10-06 08:00,1.0,28.0706,-82.8314,True,False,False,S23395067
monpar,Monk Parakeet,Myiopsitta monachus,L594440,"Florida, Indian Rocks Beach",2001-10-17 16:00,8.0,27.8812665,-82.8466988,True,False,True,S4113847
monpar,Monk Parakeet,Myiopsitta monachus,L127332,Fort De Soto Park,2001-10-25,5.0,27.6327266,-82.71815699999999,True,False,False,S5459541
monpar,Monk Parakeet,Myiopsitta monachus,L2458166,Fort Lauderdale,2001-10-27,,26.1276996,-80.125351,True,False,True,S15895703
monpar,Monk Parakeet,Myiopsitta monachus,L618241,Cedar Point Environmental Park,2001-11-02 08:00,8.0,26.9253511,-82.334868,True,False,False,S41855159
monpar,Monk Parakeet,Myiopsitta monachus,L200830,A. D. Barnes Park,2001-11-03,,25.7340827,-80.3108552,True,False,False,S54991508
monpar,Monk Parakeet,Myiopsitta monachus,L1525032,"FL Pinellas Co., Traveling on  Pinellas Bayway",2001-11-04,25.0,27.666301699999998,-82.7258166,True,False,True,S30909902
monpar,Monk Parakeet,Myiopsitta monachus,L127332,Fort De Soto Park,2001-11-06,,27.6327266,-82.71815699999999,True,False,False,S38110258
monpar,Monk Parakeet,Myiopsitta monachus,L5934027,"Florida, Broward, Everglades Holiday Park",2001-11-10 10:45,,26.0599828,-80.4442763,True,False,True,S23976975
monpar,Monk Parakeet,Myiopsitta monachus,L127381,Merritt Island NWR--Black Point Wildlife Drive,2001-11-16 08:00,3.0,28.657524100000003,-80.75453909999999,True,False,False,S17961879
monpar,Monk Parakeet,Myiopsitta monachus,L483302,South Beach--Boca Raton,2001-11-18,,26.351959499999996,-80.0697327,True,False,False,S36483566
monpar,Monk Parakeet,Myiopsitta monachus,L499776,"Weekiwachee Preserve, east of Shoal Line Boulevard",2001-11-19 07:00,7.0,28.463032300000002,-82.634697,True,True,False,S14996186
monpar,Monk Parakeet,Myiopsitta monachus,L1450823,Village Green Park,2001-11-26,,25.693329300000002,-80.16376020000001,True,False,False,S42141643
monpar,Monk Parakeet,Myiopsitta monachus,L790496,Busch Gardens,2001-12-04,,28.0347793,-82.4210751,True,False,False,S37457418
monpar,Monk Parakeet,Myiopsitta monachus,L7281210,"Florida, Weston general area",2001-12-07,,26.131331600000003,-80.3978315,True,False,True,S44933554
monpar,Monk Parakeet,Myiopsitta monachus,L124262,Bradenton,2001-12-09,2.0,27.498920000000002,-82.57481999999999,True,False,True,S5294832
monpar,Monk Parakeet,Myiopsitta monachus,L2758178,110 Hampton Lane,2001-12-10 12:00,1.0,25.6976448,-80.16477409999999,True,False,True,S22528603
monpar,Monk Parakeet,Myiopsitta monachus,L870652,Boynton Beach Inlet Park,2001-12-11,,26.544654100000002,-80.04261020000001,True,False,False,S10492633
monpar,Monk Parakeet,Myiopsitta monachus,L1258902,Boyd Hill CBC Circle,2001-12-15 04:00,15.0,27.7212203,-82.65701290000001,True,False,True,S9926618
monpar,Monk Parakeet,Myiopsitta monachus,L5509993,"Florida, Hillsborough, Riverview",2001-12-16,,27.7917304,-82.31827740000001,True,False,True,S34774954
monpar,Monk Parakeet,Myiopsitta monachus,L127346,Anna Maria Island,2001-12-25 08:00,,27.5189,-82.7263,True,False,False,S5850587
monpar,Monk Parakeet,Myiopsitta monachus,L1804940,Snook Islands Natural Area,2001-12-27,6.0,26.615990500000002,-80.0461936,True,False,False,S33472263
monpar,Monk Parakeet,Myiopsitta monachus,L3119320,Clearwater,2001-12-31,,27.963586699999997,-82.78970720000001,True,False,True,S20212108
monpar,Monk Parakeet,Myiopsitta monachus,L142528,Sand Key Park,2002-01-01 08:45,1.0,27.9588776,-82.8276291,True,False,True,S1015545
monpar,Monk Parakeet,Myiopsitta monachus,L127348,Ackerman Park,2002-01-03 07:00,,27.334,-82.4433,True,False,False,S29947723
monpar,Monk Parakeet,Myiopsitta monachus,L127415,John Prince Park,2002-01-05 10:00,,26.6012,-80.0828,True,False,False,S6727125
monpar,Monk Parakeet,Myiopsitta monachus,L3288506,De Soto National Memorial,2002-01-09,,27.523568100000006,-82.6432157,True,False,False,S63289153
monpar,Monk Parakeet,Myiopsitta monachus,L7312380,Publix,2002-01-11 09:00,,26.938321999999996,-82.33959200000001,True,False,True,S45123416
monpar,Monk Parakeet,Myiopsitta monachus,L2717133,Spanish River Community High School,2002-01-15,4.0,26.4008099,-80.145548,True,False,True,S17471207
monpar,Monk Parakeet,Myiopsitta monachus,L4648977,Tidewell Hospice grounds,2002-01-16 08:30,,27.264885800000002,-82.4583176,True,False,True,S29956603
