speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
monpar,Monk Parakeet,Myiopsitta monachus,L4828182,New Place,2018-06-17 08:02,1.0,30.328169,-97.718319,True,False,True,S46609567
monpar,Monk Parakeet,Myiopsitta monachus,L2284419,"Congress Ave. (Ann W. Richards) Bridge (HOTE 041), Austin",2018-06-19 19:15,6.0,30.2616712,-97.7452004,True,False,False,S46683075
monpar,Monk Parakeet,Myiopsitta monachus,L2172222,Austin--US-183 / TX-LOOP-1 (MoPac Expy),2018-06-23 19:09,4.0,30.3794655,-97.7378739,True,False,True,S46751599
monpar,Monk Parakeet,Myiopsitta monachus,L1617743,"Univ. of Texas, Austin main campus",2018-06-24 14:24,4.0,30.286723,-97.7395805,True,False,False,S46768511
monpar,Monk Parakeet,Myiopsitta monachus,L130766,Hornsby Bend (HOTE 037),2018-06-25 17:30,2.0,30.2181988,-97.6458054,True,False,False,S46801004
monpar,Monk Parakeet,Myiopsitta monachus,L5532752,Austin--Berkman Dr / 51st St,2018-06-26 08:18,6.0,30.3037939,-97.6989537,True,False,True,S46807384
monpar,Monk Parakeet,Myiopsitta monachus,L128956,Eilers Park/Deep Eddy Community Garden,2018-06-27 18:11,2.0,30.2758007,-97.7720032,True,False,False,S46842973
monpar,Monk Parakeet,Myiopsitta monachus,L301960,"Eastwoods Park, Austin",2018-06-29 07:40,18.0,30.2913692,-97.7310786,True,False,False,S46886445
monpar,Monk Parakeet,Myiopsitta monachus,L3719941,Austin - Purple Martin Roost at Capital Plaza,2018-06-30 20:15,1.0,30.3146262,-97.7055815,True,False,True,S46936736
monpar,Monk Parakeet,Myiopsitta monachus,L7653226,"Ann and Roy Butler Hike and Bike Trail, Austin, Texas, US (30.248, -97.731)",2018-07-01 10:39,2.0,30.2479741,-97.7314854,True,False,True,S46917600
monpar,Monk Parakeet,Myiopsitta monachus,L4828182,New Place,2018-07-02 07:51,1.0,30.328169,-97.718319,True,False,True,S46938724
monpar,Monk Parakeet,Myiopsitta monachus,L722854,"The Triangle Pond, Austin",2018-07-03 14:05,3.0,30.3128387,-97.7336454,True,False,False,S46966174
monpar,Monk Parakeet,Myiopsitta monachus,L9324627,Old Hwy 20 & S Lexington St Intersection,2018-07-05,,30.3410726,-97.5585093,True,False,True,S56641035
monpar,Monk Parakeet,Myiopsitta monachus,L7676453,"4100 Airport Boulevard, Austin, Texas, US (30.296, -97.709)",2018-07-06 10:17,10.0,30.2961361,-97.7092588,True,False,True,S47033338
monpar,Monk Parakeet,Myiopsitta monachus,L130766,Hornsby Bend (HOTE 037),2018-07-08 08:18,2.0,30.2181988,-97.6458054,True,False,False,S47077728
monpar,Monk Parakeet,Myiopsitta monachus,L7690061,"Austin-Bergstrom International Airport, Austin US-TX (30.2022,-97.6694)",2018-07-09 15:45,3.0,30.202204,-97.669395,True,False,True,S47098033
monpar,Monk Parakeet,Myiopsitta monachus,L4015130,"Univ. of Texas, Austin--Turtle Pond area",2018-07-10 15:03,2.0,30.2869317,-97.7395155,True,False,False,S47115487
monpar,Monk Parakeet,Myiopsitta monachus,L2943792,Onion Creek Greenway--Barkley Meadows,2018-07-12 12:35,1.0,30.186523,-97.626068,True,False,False,S47161029
monpar,Monk Parakeet,Myiopsitta monachus,L130766,Hornsby Bend (HOTE 037),2018-07-14 18:39,7.0,30.2181988,-97.6458054,True,False,False,S47199701
